rule,conf_pca
"<dbo:launchSite>(a, b) <= <dbo:country>(b, f) & <dbo:countryOrigin>(a, f)",5.61e-07
"<dbo:isPartOfWineRegion>(a, b) <= <dbo:country>(b, f) & <dbo:location>(a, f)",5.93e-07
"<dbo:firstAscentPerson>(a, b) <= <dbo:country>(b, f) & <dbo:locatedInArea>(a, f)",6.52e-07
"<dbo:sourceCountry>(a, b) <= <dbo:country>(b, f) & <dbo:sourceCountry>(a, f)",7.67e-07
"<dbo:dean>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.001e-06
"<dbo:followingEvent>(a, b) <= <dbo:country>(b, f) & <dbo:location>(a, f)",1.333e-06
"<dbo:notableWork>(a, b) <= <dbo:language>(a, f) & <dbo:language>(b, f)",1.657e-06
"<dbo:firstAscentPerson>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:locatedInArea>(a, f)",2.577e-06
"<dbo:formerCoach>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",2.693e-06
"<dbo:premierePlace>(a, b) <= <dbo:language>(b, f) & <dbo:originalLanguage>(a, f)",2.832e-06
"<dbo:engineer>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",3.055e-06
"<dbo:employer>(a, b) <= <dbo:country>(b, f) & <dbo:stateOfOrigin>(a, f)",3.446e-06
"<dbo:employer>(a, b) <= <dbo:country>(b, f) & <dbo:nationality>(a, f)",3.446e-06
"<dbo:foundingPerson>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",3.561e-06
"<dbo:coach>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",3.578e-06
"<dbo:illustrator>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",3.756e-06
"<dbo:foundingPerson>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",4.171e-06
"<dbo:hubAirport>(a, b) <= <dbo:country>(b, f) & <dbo:headquarter>(a, f)",4.27e-06
"<dbo:garrison>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",4.281e-06
"<dbo:saint>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",4.457e-06
"<dbo:poleDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",4.549e-06
"<dbo:launchSite>(a, b) <= <dbo:countryOrigin>(a, f) & <dbo:location>(b, f)",4.62e-06
"<dbo:illustrator>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",4.845e-06
"<dbo:secondCommander>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",4.875e-06
"<dbo:associate>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",4.921e-06
"<dbo:firstAscentPerson>(a, b) <= <dbo:locatedInArea>(a, f) & <dbo:nationality>(b, f)",5.062e-06
"<dbo:secondDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",5.108e-06
"<dbo:owningCompany>(a, b) <= <dbo:country>(b, f) & <dbo:locationCountry>(a, f)",5.436e-06
"<dbo:owningCompany>(a, b) <= <dbo:broadcastArea>(a, f) & <dbo:country>(b, f)",5.588e-06
"<dbo:designCompany>(a, b) <= <dbo:assembly>(a, f) & <dbo:birthPlace>(b, f)",5.689e-06
"<dbo:employer>(a, b) <= <dbo:country>(b, f) & <dbo:residence>(a, f)",5.739e-06
"<dbo:source>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",6.005e-06
"<dbo:deputy>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",6.277e-06
"<dbo:deputy>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",6.295e-06
"<dbo:militaryUnit>(a, b) <= <dbo:country>(b, f) & <dbo:deathPlace>(a, f)",6.302e-06
"<dbo:poleDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",6.596e-06
"<dbo:secondDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",6.617e-06
"<dbo:creativeDirector>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",6.689e-06
"<dbo:secondCommander>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",6.736e-06
"<dbo:portrayer>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:nationality>(a, f)",6.775e-06
"<dbo:employer>(a, b) <= <dbo:country>(b, f) & <dbo:deathPlace>(a, f)",7.01e-06
"<dbo:mayor>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",7.353e-06
"<dbo:sourceRegion>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",7.372e-06
"<dbo:dean>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",7.551e-06
"<dbo:chairperson>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",7.609e-06
"<dbo:firstAscentPerson>(a, b) <= <dbo:deathPlace>(b, f) & <dbo:locatedInArea>(a, f)",8.205e-06
"<dbo:languageRegulator>(a, b) <= <dbo:location>(b, f) & <dbo:spokenIn>(a, f)",8.325e-06
"<dbo:education>(a, b) <= <dbo:country>(b, f) & <dbo:deathPlace>(a, f)",8.657e-06
"<dbo:vicePresident>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",8.957e-06
"<dbo:ceo>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",8.963e-06
"<dbo:associate>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",9.141e-06
"<dbo:launchPad>(a, b) <= <dbo:country>(b, f) & <dbo:launchPad>(a, f)",9.199e-06
"<dbo:executiveProducer>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",9.258e-06
"<dbo:architect>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",9.275e-06
"<dbo:designCompany>(a, b) <= <dbo:assembly>(a, f) & <dbo:location>(b, f)",9.426e-06
"<dbo:aircraftTransport>(a, b) <= <dbo:country>(a, f) & <dbo:origin>(b, f)",9.936e-06
"<dbo:memberOfParliament>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.0307e-05
"<dbo:voice>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.0438e-05
"<dbo:architect>(a, b) <= <dbo:location>(a, f) & <dbo:nationality>(b, f)",1.0448e-05
"<dbo:owningCompany>(a, b) <= <dbo:country>(b, f) & <dbo:headquarter>(a, f)",1.0576e-05
"<dbo:aircraftRecon>(a, b) <= <dbo:country>(a, f) & <dbo:origin>(b, f)",1.0652e-05
"<dbo:education>(a, b) <= <dbo:country>(b, f) & <dbo:nationality>(a, f)",1.0661e-05
"<dbo:dean>(a, b) <= <dbo:country>(a, f) & <dbo:stateOfOrigin>(b, f)",1.0776e-05
"<dbo:associatedAct>(a, b) <= <dbo:instrument>(a, f) & <dbo:instrument>(b, f)",1.0809e-05
"<dbo:memberOfParliament>(a, b) <= <dbo:location>(a, f) & <dbo:nationality>(b, f)",1.0871e-05
"<dbo:highestMountain>(a, b) <= <dbo:timeZone>(a, f) & <dbo:timeZone>(b, f)",1.1165e-05
"<dbo:dean>(a, b) <= <dbo:country>(a, f) & <dbo:residence>(b, f)",1.1206e-05
"<dbo:billed>(a, b) <= <dbo:country>(b, f) & <dbo:residence>(a, f)",1.13e-05
"<dbo:vicePresident>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.1526e-05
"<dbo:education>(a, b) <= <dbo:country>(b, f) & <dbo:stateOfOrigin>(a, f)",1.1578e-05
"<dbo:secondDriver>(a, b) <= <dbo:deathPlace>(b, f) & <dbo:location>(a, f)",1.1585e-05
"<dbo:partner>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",1.2547e-05
"<dbo:voice>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.2557e-05
"<dbo:illustrator>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.2643e-05
"<dbo:designCompany>(a, b) <= <dbo:assembly>(a, f) & <dbo:deathPlace>(b, f)",1.2677e-05
"<dbo:outflow>(a, b) <= <dbo:country>(b, f) & <dbo:location>(a, f)",1.2941e-05
"<dbo:viceChancellor>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.3153e-05
"<dbo:employer>(a, b) <= <dbo:location>(b, f) & <dbo:stateOfOrigin>(a, f)",1.335e-05
"<dbo:employer>(a, b) <= <dbo:location>(b, f) & <dbo:nationality>(a, f)",1.335e-05
"<dbo:mouthMountain>(a, b) <= <dbo:country>(b, f) & <dbo:sourceCountry>(a, f)",1.3856e-05
"<dbo:crosses>(a, b) <= <dbo:country>(b, f) & <dbo:locatedInArea>(a, f)",1.3914e-05
"<dbo:executiveProducer>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.3921e-05
"<dbo:vicePresident>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.4364e-05
"<dbo:engineer>(a, b) <= <dbo:location>(a, f) & <dbo:location>(b, f)",1.4714e-05
"<dbo:associatedAct>(a, b) <= <dbo:occupation>(a, f) & <dbo:occupation>(b, f)",1.4766e-05
"<dbo:secondDriver>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",1.5002e-05
"<dbo:opponent>(a, b) <= <dbo:party>(a, f) & <dbo:party>(b, f)",1.5002e-05
"<dbo:showJudge>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.5106e-05
"<dbo:voice>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",1.5388e-05
"<dbo:source>(a, b) <= <dbo:country>(b, f) & <dbo:mouthCountry>(a, f)",1.5406e-05
"<dbo:alumni>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.6404e-05
"<dbo:lowestPlace>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",1.6574e-05
"<dbo:sourcePlace>(a, b) <= <dbo:country>(b, f) & <dbo:mouthCountry>(a, f)",1.6874e-05
"<dbo:child>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",1.6911e-05
"<dbo:mouthMountain>(a, b) <= <dbo:country>(b, f) & <dbo:mouthCountry>(a, f)",1.6962e-05
"<dbo:broadcastNetwork>(a, b) <= <dbo:country>(b, f) & <dbo:locationCountry>(a, f)",1.7304e-05
"<dbo:doctoralStudent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:residence>(b, f)",1.7403e-05
"<dbo:poleDriver>(a, b) <= <dbo:deathPlace>(b, f) & <dbo:location>(a, f)",1.7762e-05
"<dbo:island>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",1.7813e-05
"<dbo:gameEngine>(a, b) <= <dbo:computingInput>(a, f) & <dbo:computingInput>(b, f)",1.8409e-05
"<dbo:doctoralStudent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",1.8475e-05
"<dbo:highestMountain>(a, b) <= <dbo:country>(a, f) & <dbo:locatedInArea>(b, f)",1.8545e-05
"<dbo:mayor>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",1.8661e-05
"<dbo:education>(a, b) <= <dbo:citizenship>(a, f) & <dbo:country>(b, f)",1.8923e-05
"<dbo:showJudge>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.8969e-05
"<dbo:associatedAct>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",1.9002e-05
"<dbo:source>(a, b) <= <dbo:country>(b, f) & <dbo:sourceCountry>(a, f)",1.9276e-05
"<dbo:child>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:nationality>(a, f)",1.9661e-05
"<dbo:incumbent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",2.0595e-05
"<dbo:manufacturer>(a, b) <= <dbo:location>(b, f) & <dbo:origin>(a, f)",2.1206e-05
"<dbo:designCompany>(a, b) <= <dbo:assembly>(a, f) & <dbo:nationality>(b, f)",2.129e-05
"<dbo:crosses>(a, b) <= <dbo:locatedInArea>(a, f) & <dbo:location>(b, f)",2.1377e-05
"<dbo:doctoralStudent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:deathPlace>(b, f)",2.1582e-05
"<dbo:incumbent>(a, b) <= <dbo:nationality>(a, f) & <dbo:nationality>(b, f)",2.1702e-05
"<dbo:sourcePlace>(a, b) <= <dbo:country>(b, f) & <dbo:sourceCountry>(a, f)",2.1893e-05
"<dbo:formerPartner>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",2.2334e-05
