,subject1_a,subject1,subject1_b,subject2_a,subject2,subject2_b,object,rule,conf_pca
r1,b,<dbo:country>,f,a,<dbo:countryOrigin>,f,<dbo:launchSite>,"<dbo:launchSite>(a, b) <= <dbo:country>(b, f) & <dbo:countryOrigin>(a, f)",5.61e-07
r2,b,<dbo:country>,f,a,<dbo:location>,f,<dbo:isPartOfWineRegion>,"<dbo:isPartOfWineRegion>(a, b) <= <dbo:country>(b, f) & <dbo:location>(a, f)",5.93e-07
r3,b,<dbo:country>,f,a,<dbo:locatedInArea>,f,<dbo:firstAscentPerson>,"<dbo:firstAscentPerson>(a, b) <= <dbo:country>(b, f) & <dbo:locatedInArea>(a, f)",6.52e-07
r4,b,<dbo:country>,f,a,<dbo:sourceCountry>,f,<dbo:sourceCountry>,"<dbo:sourceCountry>(a, b) <= <dbo:country>(b, f) & <dbo:sourceCountry>(a, f)",7.67e-07
r5,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:dean>,"<dbo:dean>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",1.001e-06
r6,b,<dbo:country>,f,a,<dbo:location>,f,<dbo:followingEvent>,"<dbo:followingEvent>(a, b) <= <dbo:country>(b, f) & <dbo:location>(a, f)",1.333e-06
r7,a,<dbo:language>,f,b,<dbo:language>,f,<dbo:notableWork>,"<dbo:notableWork>(a, b) <= <dbo:language>(a, f) & <dbo:language>(b, f)",1.657e-06
r8,b,<dbo:birthPlace>,f,a,<dbo:locatedInArea>,f,<dbo:firstAscentPerson>,"<dbo:firstAscentPerson>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:locatedInArea>(a, f)",2.577e-06
r9,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:formerCoach>,"<dbo:formerCoach>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",2.693e-06
r10,b,<dbo:language>,f,a,<dbo:originalLanguage>,f,<dbo:premierePlace>,"<dbo:premierePlace>(a, b) <= <dbo:language>(b, f) & <dbo:originalLanguage>(a, f)",2.832e-06
r11,b,<dbo:birthPlace>,f,a,<dbo:location>,f,<dbo:engineer>,"<dbo:engineer>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",3.055e-06
r12,b,<dbo:country>,f,a,<dbo:stateOfOrigin>,f,<dbo:employer>,"<dbo:employer>(a, b) <= <dbo:country>(b, f) & <dbo:stateOfOrigin>(a, f)",3.446e-06
r13,b,<dbo:country>,f,a,<dbo:nationality>,f,<dbo:employer>,"<dbo:employer>(a, b) <= <dbo:country>(b, f) & <dbo:nationality>(a, f)",3.446e-06
r14,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:foundingPerson>,"<dbo:foundingPerson>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",3.561e-06
r15,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:coach>,"<dbo:coach>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",3.578e-06
r16,a,<dbo:country>,f,b,<dbo:deathPlace>,f,<dbo:illustrator>,"<dbo:illustrator>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",3.756e-06
r17,a,<dbo:country>,f,b,<dbo:nationality>,f,<dbo:foundingPerson>,"<dbo:foundingPerson>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",4.171e-06
r18,b,<dbo:country>,f,a,<dbo:headquarter>,f,<dbo:hubAirport>,"<dbo:hubAirport>(a, b) <= <dbo:country>(b, f) & <dbo:headquarter>(a, f)",4.27e-06
r19,a,<dbo:country>,f,b,<dbo:location>,f,<dbo:garrison>,"<dbo:garrison>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",4.281e-06
r20,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:saint>,"<dbo:saint>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",4.457e-06
r21,b,<dbo:birthPlace>,f,a,<dbo:location>,f,<dbo:poleDriver>,"<dbo:poleDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",4.549e-06
r22,a,<dbo:countryOrigin>,f,b,<dbo:location>,f,<dbo:launchSite>,"<dbo:launchSite>(a, b) <= <dbo:countryOrigin>(a, f) & <dbo:location>(b, f)",4.62e-06
r23,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:illustrator>,"<dbo:illustrator>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",4.845e-06
r24,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:secondCommander>,"<dbo:secondCommander>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",4.875e-06
r25,b,<dbo:birthPlace>,f,a,<dbo:country>,f,<dbo:associate>,"<dbo:associate>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",4.921e-06
r26,a,<dbo:locatedInArea>,f,b,<dbo:nationality>,f,<dbo:firstAscentPerson>,"<dbo:firstAscentPerson>(a, b) <= <dbo:locatedInArea>(a, f) & <dbo:nationality>(b, f)",5.062e-06
r27,b,<dbo:birthPlace>,f,a,<dbo:location>,f,<dbo:secondDriver>,"<dbo:secondDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",5.108e-06
r28,b,<dbo:country>,f,a,<dbo:locationCountry>,f,<dbo:owningCompany>,"<dbo:owningCompany>(a, b) <= <dbo:country>(b, f) & <dbo:locationCountry>(a, f)",5.436e-06
r29,a,<dbo:broadcastArea>,f,b,<dbo:country>,f,<dbo:owningCompany>,"<dbo:owningCompany>(a, b) <= <dbo:broadcastArea>(a, f) & <dbo:country>(b, f)",5.588e-06
